lng,lat
101.44803627,3.04776671
101.44755379,3.04754588
101.44772016,3.04817494
101.44749278,3.04817706
101.47560828,3.07524365
101.47563047,3.07504775
101.51743263,3.07485119
101.47594112,3.06574309
101.47533646,3.06588628
101.46026554,3.1096928
101.49099218,3.06572438
101.46083128,3.06759709
101.46570679,3.06558071
101.47560828,3.07524365
101.47563047,3.07504775
101.48957972,3.06673125
101.58040524,3.02211246
101.57945167,3.0222031
101.58028,3.022142
101.5806,3.0212336
101.58082,3.0210164
101.580465,3.022058
101.58044,3.02237
101.58048452,3.02219483
101.58045121,3.02217643
101.58045676,3.02217373
101.47475954,3.07262426
101.51743263,3.07485119
101.47563047,3.07504775
101.47560828,3.07524365
101.414412,3.079218
101.41254928,3.08354975
101.41383546,3.0804907
101.414061,3.08143
