tweet_id,created_at,coordinates
1042218860471037952,2018-09-19 01:08:34,"{'type': 'Point', 'coordinates': [-105.007, 39.7582]}"
1042218520782798848,2018-09-19 01:07:13,"{'type': 'Point', 'coordinates': [-105.007, 39.7582]}"
1042218488478216192,2018-09-19 01:07:05,
1042218482937593856,2018-09-19 01:07:04,
1042215941361291265,2018-09-19 00:56:58,
1042215262911713281,2018-09-19 00:54:16,"{'type': 'Point', 'coordinates': [-105.007, 39.7582]}"
1042214946724085761,2018-09-19 00:53:01,"{'type': 'Point', 'coordinates': [-105.007, 39.7582]}"
1042192788534702081,2018-09-18 23:24:58,"{'type': 'Point', 'coordinates': [-104.994, 39.7439]}"
1042189833995792386,2018-09-18 23:13:14,"{'type': 'Point', 'coordinates': [-104.994, 39.7439]}"
1042189790890942464,2018-09-18 23:13:03,
1042185034113970182,2018-09-18 22:54:09,"{'type': 'Point', 'coordinates': [-104.994, 39.7439]}"
1042183075701157889,2018-09-18 22:46:22,"{'type': 'Point', 'coordinates': [-104.994, 39.7439]}"
1042181978618048513,2018-09-18 22:42:01,"{'type': 'Point', 'coordinates': [-104.994, 39.7439]}"
1042181727190478849,2018-09-18 22:41:01,
1042181724766121984,2018-09-18 22:41:00,"{'type': 'Point', 'coordinates': [-104.994, 39.7439]}"
1042181539151405056,2018-09-18 22:40:16,"{'type': 'Point', 'coordinates': [-104.994, 39.7439]}"
1042179717284212736,2018-09-18 22:33:02,"{'type': 'Point', 'coordinates': [-104.994, 39.7439]}"
1042177183060553729,2018-09-18 22:22:57,"{'type': 'Point', 'coordinates': [-104.994, 39.7439]}"
1042138935626031104,2018-09-18 19:50:58,"{'type': 'Point', 'coordinates': [-104.991, 39.7444]}"
1042127347586084864,2018-09-18 19:04:56,"{'type': 'Point', 'coordinates': [-104.991, 39.7444]}"
1042126921881059330,2018-09-18 19:03:14,
1042126849864871937,2018-09-18 19:02:57,"{'type': 'Point', 'coordinates': [-104.991, 39.7444]}"
1042108128349835264,2018-09-18 17:48:33,
1041813053598248961,2018-09-17 22:16:02,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1041802233430659072,2018-09-17 21:33:02,
1041802219102920706,2018-09-17 21:32:59,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1041800501585760256,2018-09-17 21:26:09,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1041100641421148166,2018-09-15 23:05:10,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1041084747542343680,2018-09-15 22:02:00,
1041084684887834624,2018-09-15 22:01:45,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1041079711110189056,2018-09-15 21:42:00,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1041074562086121473,2018-09-15 21:21:32,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1041064185730359297,2018-09-15 20:40:18,"{'type': 'Point', 'coordinates': [-83.4232, 33.8517]}"
1038601654281678850,2018-09-09 01:35:05,"{'type': 'Point', 'coordinates': [-84.2706, 33.9804]}"
1038570682311946240,2018-09-08 23:32:01,"{'type': 'Point', 'coordinates': [-84.2706, 33.9804]}"
1038558369735495680,2018-09-08 22:43:05,
1038558349732786179,2018-09-08 22:43:00,"{'type': 'Point', 'coordinates': [-84.2706, 33.9804]}"
1038467037708910592,2018-09-08 16:40:10,"{'type': 'Point', 'coordinates': [-84.4306, 33.9045]}"
1038464108109197312,2018-09-08 16:28:31,"{'type': 'Point', 'coordinates': [-84.4306, 33.9045]}"
1038459491275206657,2018-09-08 16:10:11,"{'type': 'Point', 'coordinates': [-84.4306, 33.9045]}"
1038458002297237504,2018-09-08 16:04:16,"{'type': 'Point', 'coordinates': [-84.4306, 33.9045]}"
1038453889077596160,2018-09-08 15:47:55,
1038453742272765954,2018-09-08 15:47:20,"{'type': 'Point', 'coordinates': [-84.4306, 33.9045]}"
1038450243409534977,2018-09-08 15:33:26,"{'type': 'Point', 'coordinates': [-84.4306, 33.9045]}"
1038448399178182656,2018-09-08 15:26:06,"{'type': 'Point', 'coordinates': [-84.4306, 33.9045]}"
1038448393742426112,2018-09-08 15:26:05,
1038448388700889091,2018-09-08 15:26:03,
1038212124772913155,2018-09-07 23:47:14,"{'type': 'Point', 'coordinates': [-84.3129, 34.0197]}"
1038212118712131584,2018-09-07 23:47:12,
1038194664057331712,2018-09-07 22:37:51,"{'type': 'Point', 'coordinates': [-84.3447, 33.9917]}"
1038187934330048512,2018-09-07 22:11:06,"{'type': 'Point', 'coordinates': [-84.3447, 33.9917]}"
1038187900272369664,2018-09-07 22:10:58,
1038183894183563269,2018-09-07 21:55:03,"{'type': 'Point', 'coordinates': [-84.3447, 33.9917]}"
